Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
0,4,4.46
200,1,0.08
800,7,34.74
801,2,3.44
804,4,7.17
810,168,246.333
812,91,155.079
813,1,2.064
814,0,0
820,17,28.53
821,2,16.86
822,48,272.316
828,2,5.82
829,1,1
830,94,153.493
831,4,14.67
832,46,66.199
835,34,82.145
836,55,95.737
837,1,2.04
838,9,15.615
840,3,5.1
841,2,4.14
845,8,11.36
846,7,22.52
850,29,71.595
851,8,26.255
852,29,193.96
854,4,20.645
860,2,19.6
861,13,69.215
862,2,36.765
870,275,750.045
871,35,188.355
872,60,290.005
880,4,16.18
881,11,106.25
886,5,53.95
1340,0,0
1355,1,1.02
1475,1,2.1
1480,1,2.88
1490,0,0
1570,2,11.15
1595,2,4.14
1658,1,5.04
1660,0,0
1670,0,0
1680,0,0
1715,2,3.01
1730,0,0
1741,1,10
1755,1,1.98
1765,0,0
1790,0,0
1800,1,4.2
1805,1,9.72
1830,0,0
1835,0,0
1848,1,1.04
1860,0,0
1871,0,0
1875,0,0
1885,0,0
1890,0,0
2000,2,66.3
2007,6,14.41
2008,18,44.095
2009,1,2.4
2010,25,63.002
2011,8,12.16
2015,32,77.337
2016,27,56.022
2017,12,23.83
2018,59,128.195
2019,60,101.687
2020,34,61.724
2021,29,53.317
2022,47,81.417
2023,25,77.43
2024,82,156.675
2025,17,36.38
2026,90,200.427
2027,10,22.125
2028,12,25.105
2029,23,43.815
2030,43,113.48
2031,117,246.1
2032,57,110.652
2033,29,71.46
2034,72,165.325
2035,184,397.19
2036,162,323.232
2037,49,97.174
2038,63,104.388
2039,44,94.769
2040,129,238.368
2041,81,166.343
2042,94,171.649
2043,24,36.25
2044,67,147.226
2045,22,50.54
2046,136,290.91
2047,32,66.574
2048,37,64.594
2049,61,114.958
2050,16,45.66
2055,1,2.4
2057,3,4.23
2059,0,0
2060,38,74.63
2061,6,17.73
2062,25,55.485
2063,56,113.31
2064,30,90.95
2065,113,258.267
2066,219,456.217
2067,123,241.556
2068,133,263.414
2069,113,243.364
2070,105,206.349
2071,103,212.765
2072,42,91.996
2073,117,243.383
2074,221,445.479
2075,154,315.229
2076,208,375.219
2077,279,471.562
2079,89,159.383
2080,33,61.78
2081,133,258.135
2082,102,177.39
2083,33,68.125
2084,66,188.16
2085,199,363.541
2086,202,392.725
2087,198,398.355
2088,113,237.15
2089,10,15.25
2090,38,105.56
2092,73,143.749
2093,201,397.572
2094,37,64.06
2095,48,143.065
2096,99,196.278
2097,191,344.188
2099,355,663.13
2100,262,530.134
2101,225,427.555
2102,89,162.619
2103,134,303.134
2104,49,123.955
2105,20,42.49
2106,89,172.24
2107,174,354.85
2108,31,87.08
2109,0,0
2110,63,149.998
2111,97,194.876
2112,231,445.509
2113,148,472.555
2114,149,252.592
2115,76,146.324
2116,59,143.327
2117,167,296.521
2118,350,616.818
2119,126,241.656
2120,199,376.016
2121,278,493.689
2122,284,480.623
2123,1,3.42
2124,1,1.5
2125,321,618.264
2126,339,571.583
2127,7,73.92
2128,10,22.18
2130,33,65.82
2131,85,149.12
2132,76,137.609
2133,56,105.11
2134,60,157.238
2135,97,223.715
2136,38,72.695
2137,135,281.733
2138,58,107.67
2140,28,48.959
2141,182,326.795
2142,127,221.385
2143,67,117.35
2144,148,245.98
2145,731,1242.958
2146,197,323.365
2147,588,995.46
2148,782,1436.532
2150,46,102.275
2151,192,374.944
2152,105,191.979
2153,886,1691.022
2154,591,1196.111
2155,838,1617.392
2156,305,677.337
2157,74,165.458
2158,97,252.14
2159,98,202.834
2160,182,362.929
2161,156,252.454
2162,123,206.295
2163,50,91.68
2164,187,328.324
2165,317,582.047
2166,389,765.328
2167,108,195.325
2168,382,676.361
2170,966,1678.799
2171,228,438.895
2172,27,49.039
2173,158,274.038
2174,2,1.99
2175,17,31.645
2176,613,1211.627
2177,155,297.167
2178,35,74.15
2179,45,123.41
2190,135,222.099
