Small Unit Installation Postcode,Jan 2011 - Installations Quantity,Jan 2011 - SGU Rated Output In kW,Feb 2011 - Installations Quantity,Feb 2011 - SGU Rated Output In kW,Mar 2011 - Installations Quantity,Mar 2011 - SGU Rated Output In kW,Apr 2011 - Installations Quantity,Apr 2011 - SGU Rated Output In kW,May 2011 - Installations Quantity,May 2011 - SGU Rated Output In kW,Jun 2011 - Installations Quantity,Jun 2011 - SGU Rated Output In kW,Jul 2011 - Installations Quantity,Jul 2011 - SGU Rated Output In kW,Aug 2011 - Installations Quantity,Aug 2011 - SGU Rated Output In kW,Sep 2011 - Installations Quantity,Sep 2011 - SGU Rated Output In kW,Oct 2011 - Installations Quantity,Oct 2011 - SGU Rated Output In kW,Nov 2011 - Installations Quantity,Nov 2011 - SGU Rated Output In kW,Dec 2011 - Installations Quantity,Dec 2011 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,0,0,1,2.22,0,0,1,3.04,0,0,0,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,1,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0,1,6.02,0,0,0,0,0,0,0,0,0,0,0,0
810,2,3.02,0,0,5,8.07,7,12.925,3,7.5,13,23.485,2,3.51,2,3.185,4,15.6,1,0.35,2,3.885,5,84.86
812,1,3,0,0,2,3.01,5,13.7,4,13.045,4,9.91,3,6.66,3,7.205,2,6.135,5,25.48,2,3.33,0,0
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.16,0,0,0,0
820,0,0,0,0,1,1.51,1,1.51,1,1.505,4,13.23,1,2.59,1,1.665,3,8.28,2,10.1,0,0,0,0
821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,1,1.51,1,2.1,2,2.695,3,21.87,2,5.24,1,2.22,2,4.44,4,67.203,1,2.28,2,57.928
828,0,0,0,0,0,0,0,0,0,0,0,0,1,9.88,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,2,3.02,1,1.5,8,18.02,8,20.735,6,20.78,14,36.475,3,5.365,2,5.985,4,10.785,2,5.055,1,1.665,2,3.33
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24,0,0,0,0,0,0,0,0
832,3,10.52,0,0,2,3.02,6,11.665,5,15.2,7,19.135,0,0,1,3.33,2,6.27,4,8.86,0,0,2,5.61
835,1,3,0,0,3,11.07,1,4.085,1,1.505,3,21.865,3,5.47,2,4.625,0,0,2,7.62,1,1.71,0,0
836,0,0,0,0,1,1.51,1,9.52,3,13.49,4,18.55,3,4.32,2,6.12,5,13.68,1,1.71,1,5.98,0,0
837,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,0,0,1,1.48,1,2.96,0,0,0,0,0,0,0,0,0,0
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,0,0,0,0,0,0,0,0,0,0,2,4.815,1,2.22,0,0,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.14,0,0,0,0,0,0
846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.25,0,0,0,0,0,0
850,0,0,0,0,5,15.915,1,2.1,0,0,2,6.22,0,0,1,4.18,0,0,0,0,1,40.2,1,40
851,0,0,0,0,2,4.26,0,0,0,0,0,0,0,0,0,0,2,5.735,0,0,1,1.5,0,0
852,0,0,0,0,1,1.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,0,0,0,0,0,0,1,25.2,0,0,0,0,0,0,0,0,1,2.616
861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.04,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,2,2.75,0,0,0,0,17,33.66,26,61.42,55,195.005,4,18.03,2,3.52,2,12.73,0,0,7,133.33,0,0
871,0,0,0,0,0,0,0,0,2,104.45,3,5.96,0,0,0,0,2,22.66,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,0,0,1,18.48,0,0,0,0,0,0,0,0,2,57.55
880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.04,4,97.697
881,0,0,0,0,0,0,0,0,0,0,1,1.48,0,0,0,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.34
1340,0,0,0,0,0,0,0,0,0,0,0,0,1,1.14,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,1,1.51,0,0,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,1,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
