Small Unit Installation Postcode,Jan 2014 - Installations Quantity,Jan 2014 - SGU Rated Output In kW,Feb 2014 - Installations Quantity,Feb 2014 - SGU Rated Output In kW,Mar 2014 - Installations Quantity,Mar 2014 - SGU Rated Output In kW,Apr 2014 - Installations Quantity,Apr 2014 - SGU Rated Output In kW,May 2014 - Installations Quantity,May 2014 - SGU Rated Output In kW
0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
800,2,8.92,0,0,0,0,0,0,0,0
801,0,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,0,0
810,5,21.4,16,66.44,15,64.3,4,19.24,4,112.025
811,0,0,1,4.5,1,4.5,0,0,0,0
812,0,0,4,14.42,5,15.68,6,23.542,0,0
813,0,0,0,0,1,59.8,0,0,0,0
814,0,0,0,0,0,0,0,0,0,0
820,1,5.98,5,23.21,2,9.48,2,9.005,0,0
821,0,0,0,0,0,0,0,0,0,0
822,2,7.5,1,4.5,1,4.5,2,9,0,0
828,0,0,1,1.5,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0
830,1,2,2,9,6,21.84,1,4.59,1,4.59
831,0,0,0,0,0,0,0,0,0,0
832,2,6.92,5,23.24,9,39.58,0,0,1,4.59
834,0,0,0,0,1,1,2,6.5,0,0
835,2,10.42,1,4.5,1,4.5,1,4.42,0,0
836,2,7.59,8,37.4,8,33.38,5,28.44,0,0
837,2,9.98,0,0,1,5.98,0,0,0,0
838,0,0,0,0,1,6,0,0,0,0
840,0,0,0,0,0,0,1,6,0,0
841,0,0,0,0,0,0,0,0,0,0
845,1,4.5,1,2,2,8.92,1,4,0,0
846,1,3,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,0
850,4,18.98,1,4.42,4,64.92,4,19.5,1,4.505
851,0,0,0,0,2,10.5,1,2,0,0
852,0,0,0,0,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0
860,0,0,0,0,0,0,1,9.75,2,21.5
861,0,0,0,0,0,0,0,0,0,0
862,0,0,0,0,0,0,0,0,0,0
870,18,85,18,81.02,23,141.73,24,120.095,4,17.5
871,0,0,0,0,0,0,1,3,0,0
872,0,0,0,0,1,7.65,0,0,0,0
880,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0
886,0,0,0,0,0,0,0,0,0,0
1340,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0,0,0
1470,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0
1485,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0
1570,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0
1741,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0,0,0
1835,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0
1860,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,0,0,0
1875,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0
2008,0,0,1,36.75,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,1,8,0,0,0,0,1,0.6,0,0
2011,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,1,5,1,3.25,0,0
2016,0,0,0,0,0,0,2,5.5,0,0
2017,0,0,0,0,0,0,0,0,0,0
2018,0,0,1,10,0,0,1,1.5,0,0
2019,1,30,0,0,2,74.75,1,3,0,0
2020,1,3,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0
2022,1,5,1,2.616,1,4.5,2,7,0,0
2023,1,2.5,1,3.924,0,0,0,0,0,0
2024,0,0,0,0,1,4,2,11.75,0,0
2025,0,0,1,3,0,0,0,0,0,0
2026,0,0,2,13.71,1,5,2,3.41,1,3
2027,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,1,4,0,0,0,0
2029,0,0,1,4,0,0,0,0,0,0
2030,0,0,1,4.25,1,2.5,1,3,1,4.75
2031,2,6.75,0,0,4,10.13,1,1.645,0,0
2032,0,0,1,3,1,3,1,3,0,0
2033,0,0,0,0,0,0,0,0,0,0
2034,1,4.5,0,0,1,2.5,2,5,1,3
2035,3,3.92,1,5,5,17.505,2,9.71,0,0
2036,2,12.5,3,8.99,5,14.115,1,3.525,0,0
2037,1,1.75,1,5,1,4,0,0,0,0
2038,1,1.96,0,0,1,1.75,1,1.83,0,0
2039,0,0,0,0,0,0,0,0,0,0
2040,1,2.95,2,5,3,7.925,1,3.25,0,0
2041,2,4.5,0,0,4,14.08,2,3.82,0,0
2042,1,2.5,1,1.5,1,3.12,2,4,1,9.5
2043,0,0,1,3,0,0,0,0,0,0
2044,1,2,3,10,2,6,1,3,0,0
2045,0,0,0,0,1,4.68,0,0,0,0
2046,4,12.962,0,0,3,9.62,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0
2048,0,0,1,15,0,0,0,0,0,0
2049,0,0,2,7.99,2,51.5,0,0,0,0
2050,0,0,1,4.75,1,4.55,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0
2057,0,0,0,0,0,0,1,2.82,0,0
2059,0,0,0,0,0,0,0,0,0,0
2060,0,0,0,0,0,0,1,2.75,0,0
2061,0,0,0,0,0,0,0,0,0,0
2062,1,3,0,0,2,6.595,2,7.75,0,0
2063,0,0,0,0,0,0,0,0,0,0
2064,1,2,0,0,2,34.5,1,3.5,0,0
2065,2,4.5,2,5.64,3,10.75,1,8.12,0,0
2066,1,4.845,7,27.41,0,0,6,20.32,0,0
2067,1,4.75,2,6,2,7,1,4.5,0,0
2068,2,9,3,13,1,4,1,4.85,2,8.51
2069,3,13.42,4,17.2,1,4.995,1,4.75,0,0
2070,1,1.56,3,10,1,3,0,0,0,0
2071,0,0,1,4,1,2.5,0,0,0,0
2072,0,0,2,7.125,1,5,2,9.6,0,0
2073,1,4.85,6,23.23,3,12.03,2,9.5,2,10.59
2074,4,19.34,1,5.2,3,9.44,4,17.6,0,0
2075,2,8.93,2,6.35,4,18.38,2,8.424,0,0
2076,2,3.62,2,40.08,3,92.5,2,12.47,1,6.5
2077,3,7,6,16.5,2,6.5,4,112.9,0,0
2079,4,14.9,1,4,2,6,1,4,0,0
2080,0,0,1,1.635,1,5.5,0,0,0,0
2081,1,4.08,0,0,1,4,0,0,0,0
2082,1,3.5,2,7.75,1,2.5,2,4.79,0,0
2083,1,4.75,0,0,0,0,1,1.645,0,0
2084,0,0,0,0,1,10,0,0,0,0
2085,2,10.97,7,35.17,7,24.83,1,5,1,6
2086,5,21.26,3,12.18,7,28.975,2,8.845,0,0
2087,1,3.06,3,11.08,3,11.09,2,9.12,2,6.24
2088,0,0,1,3.924,3,17.71,1,3.3,1,4.96
2089,0,0,2,8.27,0,0,0,0,0,0
2090,0,0,1,1.5,2,6.78,0,0,0,0
2092,1,3.25,1,3.5,1,3.04,1,4.905,0,0
2093,3,17,0,0,3,12.07,3,12.56,0,0
2094,0,0,0,0,1,4,0,0,0,0
2095,1,10,0,0,2,4.296,0,0,0,0
2096,4,17.56,3,7.08,2,8.75,3,9.37,0,0
2097,7,24.24,3,11.5,2,9.32,2,4.25,0,0
2099,11,79.79,3,14.1,1,4,6,34.54,2,6.12
